리뷰ID,리뷰작성일,상품구매일,배송완료일,리뷰본문,사용자_익명ID,회원등급,상품번호,상품명,상품가격,상품옵션,리뷰작성경로,리뷰별점,태그,포토개수,동영상개수,댓글개수,댓글내용
117011,2026-07-01 12:13:05,2026-06-16 17:32:25,2026-06-18 18:37:59,시간날때 한번씩 가볍게 사용하기 좋고 휴대성도 편리해서 어디에서나 사용할수있어 좋아요~! 뒷목이 자주 뻐근한데 사용하고나면 꽤 개운하네요,,,909,목 마사지 베개 V2 경추 마사지기 베개,112000,수량선택: 목 마사지 베개 V2 1개,기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
117012,2026-07-01 13:53:58,2026-06-20 13:46:00,2026-06-23 13:40:40,신고서 일하며 사용하면 좋을듯합니다 몸무게가 어느정도 실리는게 자극받기 좀더 용이한것 같습니다.,,,1001,[슬룸] 구독자 전용 ★초특가★ 비밀링크,84900,수량선택: 발편한케어 L 1개,기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
117013,2026-07-01 13:55:04,2026-06-23 13:48:35,2026-06-24 13:37:30,뭉친근육을 풀어주고 하는데 도움이 되네요,,,1001,[슬룸] 구독자 전용 ★초특가★ 비밀링크,84900,수량선택: 목 마사지 베개 V2 1개,기존리뷰,4,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
117014,2026-07-01 14:13:00,2026-06-22 10:49:20,2026-06-23 21:10:36,"1개사용후 1개더 추가구입했는데
딸이써보고 안맞아서 반품할려니
너무너무 반품이 어렵게 되어있음
구입하시는 분들은 반품이 안되니
 신중히구입하세요",,,966,골반 케어 프리미엄 골반 마사지기,191000,수량선택: 골반 마사지기 1개,기존리뷰,1,,0,0,1,"안녕하세요 고객님, 프리미엄 헬스테크 브랜드, 슬룸입니다.
고객님께 만족스러운 경험을 드리지 못해 대단히 죄송합니다.😥

슬룸의 모든 제품은 인체공학적으로 설계되어 편안한 사용이 가능하나 초기 사용 시 1~2주 이상의 적응 기간이 필요할 수 있습니다. 
다만 수령하신 날짜 기준으로 30일 동안 꾸준히 사용해보시고도 만족하지 못하셨을 경우에는, 슬룸에서 진행하는 <100%환불이벤트> 에 참여하여 왕복배송비 제외 전액 환불이 가능합니다.

※ 제품을 30일간 꾸준히 사용한 경우, 배송완료 후 40일이내 신청이 가능
※ 환불 서비스는 첫 구매 체험을 위한 서비스로 1회만 신청 가능

▶ <100% 환불 이벤트> 상세 환불 조건 : https://sleeplab.co.kr/notice/?page=1#13709226_notice 

슬룸을 믿고 편하게 사용 및 체험해보시고, 그럼에도 만족하시지 못하셨을 경우 슬룸 공식몰의 채널톡을 통해 이벤트 기간 내 문의 주시면 환불 접수 도움드리겠습니다."
117015,2026-07-01 14:52:36,2026-06-28 02:58:50,2026-06-30 16:15:02,크기가 알맞고 디자인이 좋아요,,,184,목편한케어 플라잉 목 마사지기,119000,수량선택: 목편한케어 플라잉 1개,기존리뷰,4,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
117016,2026-07-01 15:01:55,2026-06-19 01:14:10,2026-06-20 13:39:12,항상 잘 사용허고 있습니다,,,102,마그네슘 시너지 크림 쿨링 테라피,28900,수량선택: 마그네슘 시너지 크림 1개,기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
117017,2026-07-01 15:02:03,2026-06-19 01:14:10,2026-06-20 13:39:12,항상 잘 사용허고 있습니다,,,636,허리편한케어 V2 허리 마사지기,131000,수량선택: 허리편한케어 V2 2개 (허리베개 2개 증정),기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
117018,2026-07-01 16:44:46,2026-06-25 16:05:15,2026-06-27 13:45:06,만족합니다 만족합니다,,,376,허리편한케어 V1 전용 케이블,5000,,기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
117019,2026-07-01 17:57:52,2026-06-20 14:57:45,2026-06-23 16:12:12,운전을 많이 하는 신랑한테 선물했어요..,,,1001,[슬룸] 구독자 전용 ★초특가★ 비밀링크,84900,수량선택: ★SET★ 발편한케어 L 1개 + 목 마사지 베개 V2 1개 + 마그네슘 시너지 크림 100원 + (증정)중형 파우치,기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
117020,2026-07-01 18:13:36,2026-06-20 10:44:15,,반품 절차가 너무 복잡합니다.,,,980,프리미엄 엘보케어 팔꿈치 마사지기,149000,수량선택: 데일리 릴렉스 세트 (팔꿈치 마사지기 + 마그네슘 시너지 크림),기존리뷰,1,,0,0,1,"안녕하세요 고객님, 프리미엄 헬스테크 브랜드, 슬룸입니다.
고객님께 만족스러운 경험을 드리지 못해 대단히 죄송합니다.😥

슬룸의 모든 제품은 인체공학적으로 설계되어 편안한 사용이 가능하나 초기 사용 시 1~2주 이상의 적응 기간이 필요할 수 있습니다. 
다만 수령하신 날짜 기준으로 30일 동안 꾸준히 사용해보시고도 만족하지 못하셨을 경우에는, 슬룸에서 진행하는 <100%환불이벤트> 에 참여하여 왕복배송비 제외 전액 환불이 가능합니다.

※ 제품을 30일간 꾸준히 사용한 경우, 배송완료 후 40일이내 신청이 가능
※ 환불 서비스는 첫 구매 체험을 위한 서비스로 1회만 신청 가능

▶ <100% 환불 이벤트> 상세 환불 조건 : https://sleeplab.co.kr/notice/?page=1#13709226_notice 

슬룸을 믿고 편하게 사용 및 체험해보시고, 그럼에도 만족하시지 못하셨을 경우 슬룸 공식몰의 채널톡을 통해 이벤트 기간 내 문의 주시면 환불 접수 도움드리겠습니다."
117021,2026-07-01 18:19:35,2026-06-20 16:28:05,2026-06-23 16:19:02,아직 더 써봐야 알겠습니다. 나쁘진 않아요.,,,1001,[슬룸] 구독자 전용 ★초특가★ 비밀링크,84900,수량선택: 목 마사지 베개 V2 1개,기존리뷰,4,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
117022,2026-07-01 20:11:56,2026-06-26 20:52:10,2026-06-30 18:40:18,하루 사용해보니 목 긴장이나 통증이 확실히 줄었어요.,,,1001,[슬룸] 구독자 전용 ★초특가★ 비밀링크,84900,수량선택: ★SET★ 발편한케어 L 1개 + 목 마사지 베개 V2 1개 + 마그네슘 시너지 크림 100원 + (증정)중형 파우치,기존리뷰,5,,2,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
117023,2026-07-01 20:23:13,2026-06-28 09:51:05,2026-06-30 21:06:29,배송도 빠르고. 물품도 좋아요,,,998,[깜짝 타임특가] 코어 요추벨트 허리 보호대,40000,수량선택: 코어 요추벨트 1개,기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
117024,2026-07-01 21:01:06,2026-06-26 10:00:00,2026-06-27 16:09:19,7가지모드로 다양한 안마기능이 좋네요.,,,1007,[뜨랑낄로x슬룸] 구독자 전용 ★초특가★ 비밀링크,84900,수량선택: 발편한케어 M 1개,기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
117025,2026-07-01 23:02:21,2026-06-22 14:49:35,2026-06-24 16:10:36,발 피로가 풀립니다 매일 사용중입니다,,,1001,[슬룸] 구독자 전용 ★초특가★ 비밀링크,84900,수량선택: ★SET★ 발편한케어 M 1개 + 목 마사지 베개 V2 1개 + 마그네슘 시너지 크림 100원 + (증정)중형 파우치,기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
117026,2026-07-01 23:09:51,2026-03-30 16:01:35,2026-04-01 13:23:00,괜찮은듯하면서도 불편하기도하고... 아직 나아지는 느낌이 들지는 않아요... 그래도 어느정도 마사지가 되는 느낌이 들긴해요.,,,291,목베개 플러스 경추 목 마사지기 베개,91000,수량선택: 목베개 플러스 1개,기존리뷰,4,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
117027,2026-07-02 11:14:23,2026-06-29 02:33:51,2026-06-30 16:18:23,허리케어는 몸집이 있으신 어머니가 누워서 하는걸 힘들어 하셔서 앉아서 잘 사용하심 목마사지베게는 살짝 아쉬움이 있네요 강도가 살짝 부족하고 버튼이 왼쪽에 붙어 있어 조작이 어렵네요 리모콘이면 좋지 않았을까요,c9d87c9063e1,,1005,[마리코리아x슬룸] 구독자 전용 ★초특가★ 비밀링크,119900,수량선택: 허리펀한케어V2 1개 + 목마사지베개V2 1개 +(증정) 마그네슘 시너지 크림 100ml 1개,모바일,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
117028,2026-07-02 11:43:56,2026-06-22 21:26:52,2026-06-26 13:37:59,슬룸 손마사지기 목마사지기등 여행갈때마다 넣어 다닐려고 구입했는데 커서 두세개 거뜬히 들어가서 좋네요,ff8dc52b2633,,754,슬룸 전용 파우치,11900,수량선택: 슬룸 보관용 파우치 (대형) 1개 (52*67cm),모바일(팝업),5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
117029,2026-07-02 13:14:45,2026-06-30 01:44:12,2026-07-01 18:35:45,"남편이 직업병으로 팔꿈치, 전완근 통증이 말도 못해요 ㅠ 맨날 약으로 버티길래 폭풍검색해서 이거 사줬어요. 
별거 다해도 마사지기가 거기서기기라 신롸가 바닥이던사람이 어제 한번하곤  신세계를 만났답니다ㅎㅎ 
착용허고 자길해 몰래 동영상 찍어봅니다~ ",5a00505c3ee4,,980,프리미엄 엘보케어 팔꿈치 마사지기,149000,수량선택: 데일리 릴렉스 세트 (팔꿈치 마사지기 + 마그네슘 시너지 크림),모바일(팝업),5,동영상 리뷰,0,1,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
117130,2026-07-02 15:19:14,2026-06-30 19:31:31,2026-07-02 15:16:00,"상품 잘 받아서 사용해 보니 
제일 문제라고 생각되는게 결착하는 밴드를 길게해서 버클에 항상 걸려있게 해서 착용하기가 용이하게 해야 할 필요가 있음.
밴드 길이가 짧다 보니 착용하려니 여간 힘드는게 아님.
다른 요소는 만족 함.",8ad5029f4687,,980,프리미엄 엘보케어 팔꿈치 마사지기,149000,수량선택: 팔꿈치 마사지기 1개,모바일,4,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
117131,2026-07-02 16:19:52,2026-06-23 18:50:04,2026-06-25 18:37:07,일주일 쓰고있는데 아직 잘 모르겠어요 베고 자면 오히려 다음날 뻐근한 느낌이라 저랑은 잘 안맞아요ㅠ,ae7f6fa0f3a2,,909,목 마사지 베개 V2 경추 마사지기 베개,112000,수량선택: 목 마사지 베개 V2 1개,반응형(내리뷰),3,,0,0,1,"안녕하세요 고객님, 프리미엄 헬스테크 브랜드, 슬룸입니다.
고객님께 만족스러운 경험을 드리지 못해 대단히 죄송합니다.😥

슬룸의 모든 제품은 인체공학적으로 설계되어 편안한 사용이 가능하나 초기 사용 시 1~2주 이상의 적응 기간이 필요할 수 있습니다. 
다만 수령하신 날짜 기준으로 30일 동안 꾸준히 사용해보시고도 만족하지 못하셨을 경우에는, 슬룸에서 진행하는 <100%환불이벤트> 에 참여하여 왕복배송비 제외 전액 환불이 가능합니다.

※ 제품을 30일간 꾸준히 사용한 경우, 배송완료 후 40일이내 신청이 가능
※ 환불 서비스는 첫 구매 체험을 위한 서비스로 1회만 신청 가능

▶ <100% 환불 이벤트> 상세 환불 조건 : https://sleeplab.co.kr/notice/?page=1#13709226_notice 

슬룸을 믿고 편하게 사용 및 체험해보시고, 그럼에도 만족하시지 못하셨을 경우 슬룸 공식몰의 채널톡을 통해 이벤트 기간 내 문의 주시면 환불 접수 도움드리겠습니다."
117132,2026-07-02 06:48:37,2026-06-19 06:39:25,2026-06-20 13:45:11,사각사각해서  잠자리가 편하고 아주 만족하고있어요.,,,62,살얼음 냉감 패드 특수 코팅 패드,109000,수량선택: 살얼음냉감패드(Q) 1개,기존리뷰,4,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
117133,2026-07-02 07:16:02,2026-06-29 19:07:50,2026-07-01 18:35:47,생각보단 별로임.소리도 많이큼,,,1005,[마리코리아x슬룸] 구독자 전용 ★초특가★ 비밀링크,119900,수량선택: 목 마사지베개 V2 1개,기존리뷰,4,,0,0,1,"안녕하세요 고객님, 프리미엄 헬스테크 브랜드, 슬룸입니다.
고객님께 만족스러운 경험을 드리지 못해 대단히 죄송합니다.😥

슬룸의 모든 제품은 인체공학적으로 설계되어 편안한 사용이 가능하나 초기 사용 시 1~2주 이상의 적응 기간이 필요할 수 있습니다. 
다만 수령하신 날짜 기준으로 30일 동안 꾸준히 사용해보시고도 만족하지 못하셨을 경우에는, 슬룸에서 진행하는 <100%환불이벤트> 에 참여하여 왕복배송비 제외 전액 환불이 가능합니다.

※ 제품을 30일간 꾸준히 사용한 경우, 배송완료 후 40일이내 신청이 가능
※ 환불 서비스는 첫 구매 체험을 위한 서비스로 1회만 신청 가능

▶ <100% 환불 이벤트> 상세 환불 조건 : https://sleeplab.co.kr/notice/?page=1#13709226_notice 

슬룸을 믿고 편하게 사용 및 체험해보시고, 그럼에도 만족하시지 못하셨을 경우 슬룸 공식몰의 채널톡을 통해 이벤트 기간 내 문의 주시면 환불 접수 도움드리겠습니다."
117134,2026-07-02 09:20:00,2026-06-18 10:41:35,2026-06-19 13:38:31,"1) 팔꿈치 엘보가 심해서 2달에 한번씩 스테로이드 주사 맞던 사람임. 이거 사용3일만에 통증이 놀랄만큼 사라져서 진짜 이것때문인지 의심했는데, 맞았음. 진짜 팔이 너무 좋아져서 테니스 더 많이 치는중. 2) 아쉬운점 : 찍찍이가 너무 약해서 에어백모드를 높일수가 없음. 풀어져버림. 왼손으로 잡고 있어야 하는데 매우 불편. 이건 빠른 개선 필요할듯. 3) 아쉬운점2: 리모콘 전원을 켤때마다 내가 조정했던 설정이 리셋이 되는데 나는 단지 강도만 좀 높이고 싶을때도 처음부터 다시 설정을 해야 하니 불편함. 이것도 개설 필수. 4) 그럼에도 불구하고 팔꿈치가 너무 안 아파져서 계속 잘 사용하겠습니다. 더 좋은 제품으로 업그레이드 계속 해주세요.",,,980,프리미엄 엘보케어 팔꿈치 마사지기,149000,수량선택: 데일리 릴렉스 세트 (팔꿈치 마사지기 + 마그네슘 시너지 크림),기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
117135,2026-07-02 09:30:20,2026-04-10 12:58:35,2026-04-11 18:37:03,딸이 목디스크가 너무 심해서 사줬는데 바로 고장이 나서 교환 했구요 아직 드라마틱한 효과는 모르겠지만 꾸준히 써보라고 하고 있어요,,,291,목베개 플러스 경추 목 마사지기 베개,91000,"버전&세트선택: V2, 수량선택: 목 마사지 베개 V2 1개",기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
117136,2026-07-02 09:44:31,2026-06-28 12:34:20,2026-06-30 16:15:20,"기능성굿
탈 착 방법이 혼자 하기에  불편합니다",,,980,프리미엄 엘보케어 팔꿈치 마사지기,149000,수량선택: 팔꿈치 마사지기 1개,기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
117137,2026-07-02 09:54:55,2026-06-29 09:39:25,2026-07-01 14:06:05,발바닥이 자주 아픈데 꾸준히 사용해 봐야겠어요.,,,924,발편한케어 프리미엄 EMS 발 마사지기,89000,"사이즈&세트선택: M (220-270mm), 수량선택: 발편한케어 1개",기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
117138,2026-07-02 10:54:23,2026-06-26 23:40:25,2026-06-30 23:05:15,슬리퍼처럼 착용할 수 있어 집안일 하면서도 마사지 가능해서 아주 좋아요.,,,874,발편한케어 프리미엄 고주파 발 마사지기,91000,"사이즈&세트선택: M (220-270mm), 수량선택: 발편한케어 1개 (파우치 중형 1개 증정)",기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
117139,2026-07-02 12:40:57,2026-06-29 18:27:10,2026-07-01 18:35:40,저희남편 허리가 고질이라 혹시나하는맘에 구입했어요 잘 쓰는것같아서 다행입니다,,,636,허리편한케어 V2 허리 마사지기,131000,수량선택: 허리편한케어 V2 1개 (허리베개 1개 증정),기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
