리뷰ID,리뷰작성일,상품구매일,배송완료일,리뷰본문,회원등급,상품번호,상품명,상품가격,상품옵션,리뷰작성경로,리뷰별점,태그,포토개수,동영상개수,댓글개수,댓글내용
c6371766d2d6,2026-03-01 13:54:20,2026-02-02 14:57:45,2026-02-03 17:03:00,목이 편야하고 시원해요,,291,목베개 플러스 경추 목 마사지기 베개,99000,수량선택: 목베개 플러스 2개,기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
2189d8987c70,2026-03-01 14:59:42,2026-02-26 01:12:55,2026-02-27 16:15:19,주물주물 마사지를 생각했는데 실망했어요. 진동으로 우웅우웅 하는데 누워서 계속 웅웅 하니까 머리가 흔들려서 그런가 멀미하는것처럼 속이 안좋아요. 어쩐지......모양이 주물주물은 아니었는데 목이 아파 혹시나 하는 마음에 뭐라도 해보려고 충동적으로 구매한게 실수였어요 ㅠㅠ 온열모드로만 사용해야겠어요. 저처럼 멀미하시는분들은 우웅~~ 하면서 울리는 마사지라는걸 감안하시고 구매하시면 좋겠습니다.,,291,목베개 플러스 경추 목 마사지기 베개,99000,수량선택: 목베개 플러스 1개,기존리뷰,3,,1,0,1,"안녕하세요 고객님, 프리미엄 헬스테크 브랜드, 슬룸입니다.
고객님께 만족스러운 경험을 드리지 못해 대단히 죄송합니다.😥

슬룸의 모든 제품은 인체공학적으로 설계되어 편안한 사용이 가능하나 초기 사용 시 1~2주 이상의 적응 기간이 필요할 수 있습니다. 
다만 수령하신 날짜 기준으로 30일 동안 꾸준히 사용해보시고도 만족하지 못하셨을 경우에는, 슬룸에서 진행하는 <100%환불이벤트> 에 참여하여 왕복배송비 제외 전액 환불이 가능합니다.

※ 제품을 30일간 꾸준히 사용한 경우, 배송완료 후 40일이내 신청이 가능
※ 환불 서비스는 첫 구매 체험을 위한 서비스로 1회만 신청 가능

▶ <100% 환불 이벤트> 상세 환불 조건 : https://sleeplab.co.kr/notice/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=13709226&t=board 

슬룸을 믿고 편하게 사용 및 체험해보시고, 그럼에도 만족하시지 못하셨을 경우 슬룸 공식몰의 채널톡을 통해 이벤트 기간 내 문의 주시면 환불 접수 도움드리겠습니다."
76452664011c,2026-03-01 18:46:10,2026-02-25 21:59:50,2026-02-27 13:43:11,소리가 너무 커서 별 하나 뺍니다.,,291,목베개 플러스 경추 목 마사지기 베개,99000,수량선택: 목베개 플러스 1개,기존리뷰,4,,0,0,1,"안녕하세요 고객님, 프리미엄 헬스테크 브랜드, 슬룸입니다.
고객님께 만족스러운 경험을 드리지 못해 대단히 죄송합니다.😥

슬룸의 모든 제품은 인체공학적으로 설계되어 편안한 사용이 가능하나 초기 사용 시 1~2주 이상의 적응 기간이 필요할 수 있습니다. 
다만 수령하신 날짜 기준으로 30일 동안 꾸준히 사용해보시고도 만족하지 못하셨을 경우에는, 슬룸에서 진행하는 <100%환불이벤트> 에 참여하여 왕복배송비 제외 전액 환불이 가능합니다.

※ 제품을 30일간 꾸준히 사용한 경우, 배송완료 후 40일이내 신청이 가능
※ 환불 서비스는 첫 구매 체험을 위한 서비스로 1회만 신청 가능

▶ <100% 환불 이벤트> 상세 환불 조건 : https://sleeplab.co.kr/notice/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=13709226&t=board 

슬룸을 믿고 편하게 사용 및 체험해보시고, 그럼에도 만족하시지 못하셨을 경우 슬룸 공식몰의 채널톡을 통해 이벤트 기간 내 문의 주시면 환불 접수 도움드리겠습니다."
eb2f522c8b95,2026-03-01 22:53:04,2026-02-27 11:00:10,2026-02-28 16:15:22,따뜻하게 뎊혀주다가 밀어올려주니 시원히네요.,,291,목베개 플러스 경추 목 마사지기 베개,99000,수량선택: 목베개 플러스 1개,기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
6dae6491f2c8,2026-03-01 22:59:38,2026-02-24 21:38:05,2026-02-26 18:38:04,사용하기 편하고 좋어요,,291,목베개 플러스 경추 목 마사지기 베개,99000,수량선택: 목베개 플러스 1개,기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
efad955ec8ef,2026-03-01 22:59:57,2026-02-24 21:37:20,2026-02-26 13:42:09,편허고 좋아요 잘쓸게요,,291,목베개 플러스 경추 목 마사지기 베개,99000,수량선택: 목베개 플러스 1개,기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
5234ab045642,2026-03-02 09:05:29,2026-02-27 08:39:41,2026-02-28 16:15:24,"자기전에 사용하는데 잠이 잘오네요
한가지 말씀드리면 어뎁트 일반은 따로 구매해야 하는데 같이 동봉해 주면 좋았을텐데 합니다 그게 아쉽네요ᆢ
",,291,목베개 플러스 경추 목 마사지기 베개,99000,수량선택: 목베개 플러스 2개,모바일(상품리뷰),5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
2439726e5689,2026-03-02 11:06:41,2026-02-20 19:09:26,2026-02-24 18:47:05,"지금 3개째 구매해서 가족, 친지 사용 중 굳어있는 목을 시원하게 펴줘서 취침 전 계속 사용하고 있어요~",,291,목베개 플러스 경추 목 마사지기 베개,99000,수량선택: 목베개 플러스 2개,모바일(팝업),5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
310972f3dbeb,2026-03-02 11:08:19,2026-02-28 19:06:04,2026-03-03 13:37:21,"친정엄마 시댁어머니 신랑 목이 안좋으셔서 광고를 계속 보고있는데 마치 간단하면서 보고만 있어도 낳을거 같은 효과가 있어서 구매해 보았습니다
효과가 있었으면 좋겠어요
제품은 아직 못 받아서 사진 첨부는 하지 못했습니다",,291,목베개 플러스 경추 목 마사지기 베개,99000,수량선택: 목베개 플러스 1개,모바일,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
25fd32461fcf,2026-03-02 10:47:28,2026-02-03 20:03:35,2026-02-05 18:39:12,남편이 목이 아프다고해서 구매선물했는데 좋다고 해요 그냥 베개로 베고있어도 좋고 마사지 기능도 과하지않게 좋습니다,,291,목베개 플러스 경추 목 마사지기 베개,99000,수량선택: 목베개 플러스 1개,기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
05dcba636024,2026-03-02 10:53:05,2026-02-08 12:48:50,2026-02-10 21:09:14,"바로 대면 아프기도 하고, 닿는 면적이 넓으면 도는 속도가 멈추거나 서서히 돌아가는 불편함이 있네요.",,70,목편한케어 목 마사지기,99000,수량선택: 목편한케어 1개,기존리뷰,3,,0,0,1,"안녕하세요 고객님, 프리미엄 헬스테크 브랜드, 슬룸입니다.
고객님께 만족스러운 경험을 드리지 못해 대단히 죄송합니다.😥

슬룸의 모든 제품은 인체공학적으로 설계되어 편안한 사용이 가능하나 초기 사용 시 1~2주 이상의 적응 기간이 필요할 수 있습니다. 
다만 수령하신 날짜 기준으로 30일 동안 꾸준히 사용해보시고도 만족하지 못하셨을 경우에는, 슬룸에서 진행하는 <100%환불이벤트> 에 참여하여 왕복배송비 제외 전액 환불이 가능합니다.

※ 제품을 30일간 꾸준히 사용한 경우, 배송완료 후 40일이내 신청이 가능
※ 환불 서비스는 첫 구매 체험을 위한 서비스로 1회만 신청 가능

▶ <100% 환불 이벤트> 상세 환불 조건 : https://sleeplab.co.kr/notice/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=13709226&t=board 

슬룸을 믿고 편하게 사용 및 체험해보시고, 그럼에도 만족하시지 못하셨을 경우 슬룸 공식몰의 채널톡을 통해 이벤트 기간 내 문의 주시면 환불 접수 도움드리겠습니다."
c8eb5d02d637,2026-03-02 11:33:52,2026-01-27 20:29:10,2026-01-29 12:20:00,그냥저냥 하고있어요. 진동이 넘쎄서 아랫집 울릴까 걱정도되긴하네요.,,291,목베개 플러스 경추 목 마사지기 베개,99000,수량선택: 목베개 플러스 1개,기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
64cc7811ab57,2026-03-02 12:56:17,2026-02-26 14:48:10,2026-02-27 16:15:18,어깨가 굳고 뒷목 통증과 두통이 생겨서 구매해 사용해 보니 목이 한결 편해지고 코골이도 줄어듭니다.,,63,목베개 스트레칭 베개,39900,수량선택: 목베개 1개,기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
ecff3f260fa2,2026-03-02 12:56:54,2026-01-27 10:30:00,2026-01-28 18:41:01,벽의 높이가 너무 높아요,,291,목베개 플러스 경추 목 마사지기 베개,99000,수량선택: 목베개 플러스 1개,기존리뷰,3,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
5b21bb83aa6b,2026-03-02 12:59:30,2026-02-27 11:16:05,2026-02-28 16:15:23,목이 좀 편해지셨어요,,291,목베개 플러스 경추 목 마사지기 베개,99000,수량선택: 목베개 플러스 1개,기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
c8bae7825221,2026-03-02 13:24:49,2026-02-15 23:15:25,2026-02-20 13:52:16,아직은모르겠어요 더써볼케요,,636,허리편한케어 V2 허리 마사지기,149000,"허리베개 100원 선택: 허리베개 100원, 수량선택: 허리편한케어 V2 1개",기존리뷰,3,,0,0,1,"안녕하세요 고객님, 프리미엄 헬스테크 브랜드, 슬룸입니다.
고객님께 만족스러운 경험을 드리지 못해 대단히 죄송합니다.😥

슬룸의 모든 제품은 인체공학적으로 설계되어 편안한 사용이 가능하나 초기 사용 시 1~2주 이상의 적응 기간이 필요할 수 있습니다. 
다만 수령하신 날짜 기준으로 30일 동안 꾸준히 사용해보시고도 만족하지 못하셨을 경우에는, 슬룸에서 진행하는 <100%환불이벤트> 에 참여하여 왕복배송비 제외 전액 환불이 가능합니다.

※ 제품을 30일간 꾸준히 사용한 경우, 배송완료 후 40일이내 신청이 가능
※ 환불 서비스는 첫 구매 체험을 위한 서비스로 1회만 신청 가능

▶ <100% 환불 이벤트> 상세 환불 조건 : https://sleeplab.co.kr/notice/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=13709226&t=board 

슬룸을 믿고 편하게 사용 및 체험해보시고, 그럼에도 만족하시지 못하셨을 경우 슬룸 공식몰의 채널톡을 통해 이벤트 기간 내 문의 주시면 환불 접수 도움드리겠습니다."
23e02d0a6b76,2026-03-02 14:43:04,2026-02-22 13:40:35,,목이랑 어꺠가 너무 시원해요 그냥 누우면되니 사용이 편해요,,291,목베개 플러스 경추 목 마사지기 베개,99000,수량선택: 목베개 플러스 1개,기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
a3ecef0125dc,2026-03-02 15:20:08,2026-02-21 16:18:51,2026-02-24 21:14:14,어쩔수 없이 전가가 짧아요.,,291,목베개 플러스 경추 목 마사지기 베개,99000,수량선택: 목베개 플러스 1개,기존리뷰,4,,0,0,1,"안녕하세요 고객님, 프리미엄 헬스테크 브랜드, 슬룸입니다.
고객님께 만족스러운 경험을 드리지 못해 대단히 죄송합니다.😥

슬룸의 모든 제품은 인체공학적으로 설계되어 편안한 사용이 가능하나 초기 사용 시 1~2주 이상의 적응 기간이 필요할 수 있습니다. 
다만 수령하신 날짜 기준으로 30일 동안 꾸준히 사용해보시고도 만족하지 못하셨을 경우에는, 슬룸에서 진행하는 <100%환불이벤트> 에 참여하여 왕복배송비 제외 전액 환불이 가능합니다.

※ 제품을 30일간 꾸준히 사용한 경우, 배송완료 후 40일이내 신청이 가능
※ 환불 서비스는 첫 구매 체험을 위한 서비스로 1회만 신청 가능

▶ <100% 환불 이벤트> 상세 환불 조건 : https://sleeplab.co.kr/notice/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=13709226&t=board 

슬룸을 믿고 편하게 사용 및 체험해보시고, 그럼에도 만족하시지 못하셨을 경우 슬룸 공식몰의 채널톡을 통해 이벤트 기간 내 문의 주시면 환불 접수 도움드리겠습니다."
02a65aa78e2a,2026-03-02 17:12:37,2025-12-14 08:46:00,2025-12-17 16:23:04,사용  보통 만족입니다,,291,목베개 플러스 경추 목 마사지기 베개,99000,수량선택: 목베개 플러스 1개,기존리뷰,3,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
395742d87107,2026-03-02 17:35:29,2026-02-14 23:09:00,2026-02-19 13:07:00,목뒤가 뻐근 했던게 풀립니다^^,,291,목베개 플러스 경추 목 마사지기 베개,99000,수량선택: 목베개 플러스 1개,기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
63daf0a68c52,2026-03-02 20:52:39,2026-02-04 00:28:30,2026-02-05 15:22:00,소리가 너무 크고 집이 전체가 공사하는 것처럼 울려요. 층간소음 신고올까봐 무서워서 못쓰겠어요,,763,[껀미언니X슬룸] 단독공구 허리마사지기! 역대급 62% 할인!,114900,수량선택: [60%] 허리편한케어V2 1개 + 마사지크림 1개 증정,기존리뷰,1,,0,0,1,"안녕하세요 고객님, 프리미엄 헬스테크 브랜드, 슬룸입니다.
고객님께 만족스러운 경험을 드리지 못해 대단히 죄송합니다.😥

슬룸의 모든 제품은 인체공학적으로 설계되어 편안한 사용이 가능하나 초기 사용 시 1~2주 이상의 적응 기간이 필요할 수 있습니다. 
다만 수령하신 날짜 기준으로 30일 동안 꾸준히 사용해보시고도 만족하지 못하셨을 경우에는, 슬룸에서 진행하는 <100%환불이벤트> 에 참여하여 왕복배송비 제외 전액 환불이 가능합니다.

※ 제품을 30일간 꾸준히 사용한 경우, 배송완료 후 40일이내 신청이 가능
※ 환불 서비스는 첫 구매 체험을 위한 서비스로 1회만 신청 가능

▶ <100% 환불 이벤트> 상세 환불 조건 : https://sleeplab.co.kr/notice/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=13709226&t=board 

슬룸을 믿고 편하게 사용 및 체험해보시고, 그럼에도 만족하시지 못하셨을 경우 슬룸 공식몰의 채널톡을 통해 이벤트 기간 내 문의 주시면 환불 접수 도움드리겠습니다."
21bf33934ef7,2026-03-02 21:20:11,2026-01-25 19:57:40,2026-01-27 16:31:24,온열기능으로 마사지하면서 리프팅을 하니까 좋아요,,291,목베개 플러스 경추 목 마사지기 베개,99000,수량선택: 목베개 플러스 1개,기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
