리뷰ID,리뷰작성일,상품구매일,배송완료일,리뷰본문,사용자_익명ID,회원등급,상품번호,상품명,상품가격,상품옵션,리뷰작성경로,리뷰별점,태그,포토개수,동영상개수,댓글개수,댓글내용
114617,2026-06-01 18:41:32,2026-05-20 10:09:10,2026-05-21 12:26:00,마사지 좋습니다~~~~~~~,,,909,목 마사지 베개 V2 경추 마사지기 베개,112000,수량선택: 목 마사지 베개 V2 1개,기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
114618,2026-06-01 19:38:14,2026-05-24 10:54:45,2026-05-27 15:47:00,욱씬욱씬 만족합니다,,,979,[상가의 안녕히살아보기x슬룸] 구독자 전용 ★초특가★ 비밀링크,84900,수량선택: ★상가SET★ 발편한케어 데일리 M 1개 + 목 마사지 베개 V2 1개 + (증정)중형 파우치 2개,기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
114619,2026-06-01 19:46:13,2026-05-25 11:27:45,2026-05-27 19:27:00,아직 효과는 미비하다고 함 매일 하면 좋을 것 같음,,,645,발편한케어 프리미엄 발 마사지기,91000,"버전&세트선택: 프로, 사이즈&세트선택: F(220-270mm), 수량선택: 발편한케어 프로 1개",기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
114620,2026-06-02 02:10:15,2026-05-23 13:38:05,2026-05-27 18:06:00,좋습니다. 유용해요.,,,979,[상가의 안녕히살아보기x슬룸] 구독자 전용 ★초특가★ 비밀링크,84900,수량선택: 발편한케어 데일리 M 1개,기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
114621,2026-06-02 09:44:36,2026-05-08 18:10:35,2026-05-12 15:30:00,가볍고 휴대성이 기가막힙니다,,,645,발편한케어 프리미엄 발 마사지기,91000,"버전&세트선택: V2, 사이즈&세트선택: F(220-270mm), 수량선택: 발편한케어 V2 1개 (마그네슘 시너지 크림 30ml 1개 증정)",기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
114622,2026-06-02 11:45:51,2026-05-24 13:49:55,2026-05-27 18:45:32,목 잘 받쳐주고 안마도 해주고 아주 좋아요,,,909,목 마사지 베개 V2 경추 마사지기 베개,112000,수량선택: 목 마사지 베개 V2 1개,기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
114623,2026-06-02 14:15:35,2026-05-29 22:47:45,2026-06-02 13:43:20,살수있어서 행복했어요,,,376,허리편한케어 V1 전용 케이블,5000,,기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
114624,2026-06-02 15:32:25,2026-06-01 12:44:55,2026-06-02 15:27:00,예전부터 사고 싶었는데 이번에 질렀어요. 좋을꺼 같아요!,,,979,[상가의 안녕히살아보기x슬룸] 구독자 전용 ★초특가★ 비밀링크,84900,수량선택: 발편한케어 데일리 M 1개,기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
114625,2026-06-02 17:21:53,2026-05-31 16:51:00,2026-06-02 13:43:15,아직 사용전이지만 후기보고 샀는데 목의 고통을 덜어줬으면 좋겠네요,,,979,[상가의 안녕히살아보기x슬룸] 구독자 전용 ★초특가★ 비밀링크,84900,수량선택: 목 마사지 베개 V2 1개,기존리뷰,4,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
114626,2026-06-02 23:17:20,2026-05-10 09:42:00,2026-05-12 15:03:00,목이 정말 편안해요,,,291,목베개 플러스 경추 목 마사지기 베개,91000,수량선택: 목베개 플러스 1개 (마그네슘 시너지 크림 30ml 1개 증정),기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
114627,2026-06-02 23:41:28,2026-05-28 22:20:50,2026-05-30 13:47:25,아주좋아요!!!!!!,,,979,[상가의 안녕히살아보기x슬룸] 구독자 전용 ★초특가★ 비밀링크,84900,수량선택: ★상가SET★ 발편한케어 데일리 L 1개 + 목 마사지 베개 V2 1개 + (증정)중형 파우치 2개,기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
114628,2026-06-03 00:17:07,2026-05-10 12:48:45,2026-05-12 17:10:08,"잠잘땐 불편감 있지만 목 마사지는 좋다함
아쉬운점은 리모컨이 없어 좀 쓰기가 귀찮음",,,909,목 마사지 베개 V2 경추 마사지기 베개,112000,수량선택: 목 마사지 베개 V2 1개 (마그네슘 시너지 크림 30ml 1개 증정),기존리뷰,3,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
114629,2026-06-03 08:11:22,2026-06-01 03:59:36,2026-06-02 23:05:18,나이가 들어갈수록 발바닥자체가 너무아프고 족저근막염이 생겨 병원다니기전에 마사지기라도 있어야할거같아서 사봤는데 너무시원하네여..!,0f6892209f62,,645,발편한케어 프리미엄 발 마사지기,91000,"버전&세트선택: 데일리, 사이즈&세트선택: M (220-270mm), 수량선택: 발편한케어 데일리 1개",모바일(팝업),5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
114630,2026-06-03 08:30:00,2026-06-01 08:31:06,2026-06-02 16:18:20,"부모님 선물로 사드렸어요 엄청 좋아하시더라고요
덕분에 저렴하게 사서 효도도 하고 좋네요",dd8229c56821,,979,[상가의 안녕히살아보기x슬룸] 구독자 전용 ★초특가★ 비밀링크,84900,수량선택: 목 마사지 베개 V2 1개,모바일,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
114631,2026-06-03 08:32:58,2026-05-30 19:54:50,2026-06-02 13:44:11,어제 받아보고 편안히 잘 지ㅛ어요,067c9aa83dd2,,39,허리베개 허리 편안 베개,43800,수량선택: 허리베개 2개,모바일(팝업),5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
114632,2026-06-03 09:16:14,2026-05-31 00:54:25,2026-06-05 14:38:03,"이게  뭡니까?
전용 어댑터 까지 구매 한건데 
 불량품을 보내주셨네요
멀쩡한 걸로 다시 보내주세요",9c9e1161cdda,,909,목 마사지 베개 V2 경추 마사지기 베개,112000,수량선택: 목 마사지 베개 V2 1개,반응형(내리뷰),1,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
고객님께 만족스러운 경험을 드리지 못해 대단히 죄송합니다. 😥

리뷰로는 상세한 안내가 어려워, 자세한 내용 알림톡(문자) 발송 도와드렸으니 확인 부탁드리겠습니다.
추가로 궁금하신 점이 있으시거나 문자 확인하신 후에도 해결되지 않는 경우
번거로우시겠지만 슬룸 채팅 상담을 통해 연락 주시면 빠르게 안내 도와드리겠습니다.

▶ 슬룸 채팅 상담 (※ 월-목 09:30-17:00, 금 09:30-16:00, 주말 및 공휴일 휴무)
http://sloom.channel.io/

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다. 감사합니다."
114633,2026-06-03 10:13:07,2026-05-30 10:13:16,2026-06-02 16:18:51,진짜 신박하네요. 잘 쓰고 또 다른 제품도 주문하러왔습니다.,3798bd9506a2,,980,프리미엄 엘보케어 팔꿈치 마사지기,149000,쇼핑백 & 전용 어댑터 추가: [신제품 출시 한정] 슬룸 보관용 파우치 (중형) 1개,모바일(팝업),5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
114634,2026-06-03 12:19:44,2026-05-23 22:14:34,2026-05-27 10:47:02,허리디스크로 인해 골반 비틀어짐있어 걸을깨마다 하지방사통까지 와서 똑바른 자세가 유지되지 않았는데 1일 2번씩 골반교정하듯 골반맛사지기를 해주니까 첫날이랑 2째날은 뻐근해 좀 힘들었는데 차츰 자세가 편하고 좋았다,4ca9143f91a0,,966,골반 케어 프리미엄 골반 마사지기,191000,수량선택: 바디 밸런스 케어 세트 (골반 마사지기 + 허리베개) + 마그네슘 시너지 크림 1개 증정,모바일,5,동영상 리뷰,1,1,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
114635,2026-06-03 12:25:42,2026-05-23 22:14:34,2026-05-27 10:47:01,허리디스크때문에 타임할인때 구매하여 앉아있을때 뻐근한허리를 요추를 맞처가며 허리네 장작하는데 너무좋았다,4ca9143f91a0,,930,[타임딜] 코어 요추벨트 허리 보호대,39000,수량선택: 코어 요추벨트 1개,모바일,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
114636,2026-06-03 12:40:45,2026-05-23 22:14:34,2026-05-27 10:47:01,발바닥 저주파치료가 앉아서만 해야하는 번거로움이 있고 뒤꿈치가 많아 아픈데 저주파가 약해서 느껴지지않는다. ,4ca9143f91a0,,645,발편한케어 프리미엄 발 마사지기,91000,"버전&세트선택: 프로, 사이즈&세트선택: F(220-270mm), 수량선택: 발편한케어 프로 1개",반응형(내리뷰),3,,1,0,1,"안녕하세요 고객님, 프리미엄 헬스테크 브랜드, 슬룸입니다.
고객님께 만족스러운 경험을 드리지 못해 대단히 죄송합니다.😥

슬룸의 모든 제품은 인체공학적으로 설계되어 편안한 사용이 가능하나 초기 사용 시 1~2주 이상의 적응 기간이 필요할 수 있습니다. 
다만 수령하신 날짜 기준으로 30일 동안 꾸준히 사용해보시고도 만족하지 못하셨을 경우에는, 슬룸에서 진행하는 <100%환불이벤트> 에 참여하여 왕복배송비 제외 전액 환불이 가능합니다.

※ 제품을 30일간 꾸준히 사용한 경우, 배송완료 후 40일이내 신청이 가능
※ 환불 서비스는 첫 구매 체험을 위한 서비스로 1회만 신청 가능

▶ <100% 환불 이벤트> 상세 환불 조건 : https://sleeplab.co.kr/notice/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=13709226&t=board 

슬룸을 믿고 편하게 사용 및 체험해보시고, 그럼에도 만족하시지 못하셨을 경우 슬룸 공식몰의 채널톡을 통해 이벤트 기간 내 문의 주시면 환불 접수 도움드리겠습니다."
114637,2026-06-03 12:42:12,2026-06-01 07:08:34,2026-06-02 18:38:33,USB전용으로 충전하지 않으면 발열등 위험할까봐 추가 구매하였는데 잘구매한것같다,4ca9143f91a0,,330,USB 충전 어댑터 멀티 충전기,5900,,반응형(내리뷰),5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
114638,2026-06-03 12:43:57,2026-06-01 07:08:34,2026-06-02 18:38:33,슬롬제품이  종류별 많은데 전용케이블과 같이 넣어두려고 구매하였는데~ 제질이 튼튼해서 종류별 같이 분류해두니 좋네요,4ca9143f91a0,,754,슬룸 전용 파우치,11900,수량선택: 슬룸 보관용 파우치 (중형) 1개 (33*48cm),반응형(내리뷰),5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
114639,2026-06-03 12:46:09,2026-06-01 07:08:34,2026-06-02 18:53:47,허리편한케어V1이 있는데 이제품은 케이블 끝 충전부분이 둥그란모양이라서 C케이블만 있어 충전을 못해 사용하지 못하였는데 이렇게 추가 구매사능해서 다시 잘 사용할수있게 되어 좋았다,4ca9143f91a0,,376,허리편한케어 V1 전용 케이블,5000,,반응형(내리뷰),5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
114640,2026-06-03 17:29:53,2026-05-25 11:31:55,2026-05-27 22:51:07,아주 좋아요 마사지기능도 좋고 몸 전체가 쫙 펴지는 느낌이에요,e3cc8b105ff2,,909,목 마사지 베개 V2 경추 마사지기 베개,112000,수량선택: 목 마사지 베개 V2 1개,모바일(팝업),5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
114641,2026-06-03 18:31:23,2026-05-26 19:34:18,2026-05-28 21:06:41,아주 마시지도 잘되고 편안합니다.,1c0f3ea7faea,,909,목 마사지 베개 V2 경추 마사지기 베개,112000,수량선택: 목 마사지 베개 V2 1개,모바일(팝업),5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
114642,2026-06-03 11:56:13,2026-05-29 02:22:30,2026-05-31 14:05:15,마사지중 견인기가 있어서  목이 편안합니다,,,979,[상가의 안녕히살아보기x슬룸] 구독자 전용 ★초특가★ 비밀링크,84900,수량선택: 목 마사지 베개 V2 1개,기존리뷰,4,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
114643,2026-06-03 14:41:30,2026-04-30 19:32:50,2026-05-05 13:55:00,빠른 배송 감사합니다.,,,930,[타임딜] 코어 요추벨트 허리 보호대,39000,수량선택: 코어 요추벨트 1개,기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
114644,2026-06-03 15:58:12,2026-05-13 05:41:45,2026-05-14 16:20:00,목 디스크가 있었는데 사용 후 많이 좋아졌어요.,,,878,목베개 플러스 프리미엄 목 마사지 계절베개,99000,수량선택: 목베개 플러스 1개 (마그네슘 시너지 크림 30ml 1개 증정),기존리뷰,3,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
114645,2026-06-03 18:01:54,2026-04-29 20:30:30,2026-05-01 13:04:00,사놓고 사용을 안하게 되네,,,909,목 마사지 베개 V2 경추 마사지기 베개,112000,수량선택: 목 마사지 베개 V2 1개 (마그네슘 시너지 크림 30ml 1개 증정),기존리뷰,3,,1,0,1,"안녕하세요 고객님, 프리미엄 헬스테크 브랜드, 슬룸입니다.
고객님께 만족스러운 경험을 드리지 못해 대단히 죄송합니다.😥

슬룸의 모든 제품은 인체공학적으로 설계되어 편안한 사용이 가능하나 초기 사용 시 1~2주 이상의 적응 기간이 필요할 수 있습니다. 
다만 수령하신 날짜 기준으로 30일 동안 꾸준히 사용해보시고도 만족하지 못하셨을 경우에는, 슬룸에서 진행하는 <100%환불이벤트> 에 참여하여 왕복배송비 제외 전액 환불이 가능합니다.

※ 제품을 30일간 꾸준히 사용한 경우, 배송완료 후 40일이내 신청이 가능
※ 환불 서비스는 첫 구매 체험을 위한 서비스로 1회만 신청 가능

▶ <100% 환불 이벤트> 상세 환불 조건 : https://sleeplab.co.kr/notice/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=13709226&t=board 

슬룸을 믿고 편하게 사용 및 체험해보시고, 그럼에도 만족하시지 못하셨을 경우 슬룸 공식몰의 채널톡을 통해 이벤트 기간 내 문의 주시면 환불 접수 도움드리겠습니다."
